Time_s,U_01_V,U_02_V,U_03_V,U_04_V,U_05_V,U_06_V,U_07_V,U_08_V,U_09_V,U_10_V,U_11_V,U_12_V,I_A
0 days 00:00:00,3.9974972701779197,3.9978968932525265,3.998650273559071,3.99730656235766,3.9974545546427906,3.9971324373568113,3.9972341226046724,3.9961567888049143,3.9980939012413246,3.9959871210855202,3.996312495904637,3.9986129983269687,-0.0
0 days 00:00:00.100000,3.9970426280186686,3.997988733902525,3.9976210786455475,3.995890870554119,3.9977892047706014,3.998701346168377,3.9969826132617516,3.9975109024530453,3.9977106935495077,3.9979578148236374,3.9970802446043567,3.997069104357503,-0.0
0 days 00:00:00.200000,3.9970459911080214,3.997345283793543,3.9959101282763356,3.998991127265992,3.9982946430248405,3.9968624409468996,3.996863144959871,3.9971769883210624,3.998455989635311,3.996471034800459,3.9983856283528643,3.9984829156308996,-0.0
0 days 00:00:00.300000,3.99834641881016,3.9989786887572962,3.997310846535736,3.998395679790894,3.9980510178206705,3.998019983740588,3.995735592217749,3.9966612453928616,3.996814967917432,3.998659031680019,3.9961847539905673,3.997083876288762,-0.0
0 days 00:00:00.400000,3.9986960753712903,3.9986193495774254,3.996460460408286,3.995530756960915,3.997972188162819,3.9968930244023237,3.998930880391323,3.998728611392943,3.9961413265447585,3.998464505029597,3.998803716215404,3.998778406225866,-0.0
0 days 00:00:00.500000,3.9972827103578146,3.9967708702055225,3.99811041365951,3.997421681967711,3.998966883928536,3.9974238870414998,3.996410639885848,3.9959340228277846,3.9975524664996858,3.9974465699910904,3.9963768459084745,3.99746081648876,-0.0
0 days 00:00:00.600000,3.99839332524877,3.998116654689697,3.9974953776211737,3.9984514207388844,3.997462800478325,3.9975242595026623,4.000098642921219,3.996961293936784,3.9972017465900844,3.9977682420416523,3.9974926623626903,3.9973479222401465,-0.0
0 days 00:00:00.700000,4.000319222963491,3.997998631582057,3.9977418349433886,3.9976227456632376,3.9962522070660964,3.997990709784299,3.9966683162611383,3.996831108938613,3.996022400248119,3.9973715798136054,3.996211184585348,3.9972134077469983,-0.0
0 days 00:00:00.800000,3.997957135914887,3.9976913301708996,3.997598972667964,3.999446010089685,3.9975002033205835,3.9982140078384156,3.997246349759776,3.998409018331879,3.9970042957303376,3.9984743361151094,3.9995232717141262,3.99610676656307,-0.0
0 days 00:00:00.900000,3.997538696525204,3.9973889464351635,3.996811281206677,3.997289623386024,3.9983609086120744,3.997896261277312,3.996679121725002,3.999140048676479,3.9977044077816597,3.99945280994571,3.999236251346823,3.999154083144248,-0.0
